Aaliyah;2;2
Aaron;1;2
Abbey;2;2
Abbie;2;2
Abby;2;2
Abe;1;2
Abel;1;10
Abele;1;1
Abigail;2;6
Abner;1;2
Abraham;1;2
Abram;1;2
Absolon;1;8
Acacia;2;2
Ace;1;2
Achille;1;9
Ada;2;7
Adair;1;2
Adalbert;1;4
Adalberto;1;1
Adam;1;14
Adamina;2;2
Adamo;1;1
Addison;3;2
Addy;2;2
Adela;2;2
Adelaide;2;3
Adélaïde;2;8
Adelbert;1;4
Adele;2;7
Adèle;2;8
Adelheid;2;4
Adelia;2;2
Adelina;2;5
Adeline;2;10
Adolf;1;4
Adolfo;1;1
Adolph;1;2
Adolphe;1;8
Adria;2;2
Adrian;1;6
Adriana;2;3
Adrianna;2;2
Adrianne;2;2
Adriano;1;1
Adrien;1;8
Adrienne;2;8
Agapito;1;1
Agata;2;1
Agatha;2;2
Agathe;2;12
Aglaé;2;8
Agnes;2;6
Agnès;2;8
Agnese;2;1
Agostina;2;1
Agostino;1;1
Aidan;1;2
Aimé;1;8
Aimée;2;8
Ainsley;3;2
Al;1;2
Alain;1;8
Alan;1;10
Alanis;2;2
Alba;2;1
Alban;1;14
Albano;1;1
Alberico;1;1
Albert;1;14
Alberta;2;3
Albertina;2;5
Albertine;2;8
Alberto;1;1
Albina;2;1
Albine;2;12
Albrecht;1;4
Alda;2;1
Alden;1;2
Aldo;1;1
Aldous;1;2
Aldric;1;8
Ale;3;1
Alec;1;2
Aleida;2;4
Alena;2;5
Alessa;2;1
Alessandra;2;1
Alessandro;1;1
Alessia;2;1
Alessio;1;1
Alethea;2;2
Alex;3;15
Alexa;2;2
Alexander;1;6
Alexandra;2;14
Alexandre;1;8
Alexandria;2;2
Alexandrina;2;2
Alexandrine;2;12
Alexia;2;6
Alexina;2;2
Alexis;3;14
Alf;1;2
Alfeo;1;1
Alfie;1;2
Alfons;1;4
Alfonsina;2;1
Alfonso;1;1
Alfred;1;14
Alfreda;2;7
Alfredo;1;1
Algar;1;2
Algernon;1;2
Ali;2;2
Alice;2;11
Alicia;2;2
Alina;2;5
Aline;2;10
Alison;2;10
Allegra;2;3
Allen;1;2
Allie;2;2
Allison;2;2
Ally;2;2
Alma;2;3
Alois;1;4
Aloisia;2;4
Alonzo;1;1
Aloysius;1;6
Alpha;3;2
Alphonse;1;8
Alphonsine;2;8
Alton;1;2
Alvena;2;2
Alvin;1;2
Alvina;2;2
Alvise;1;1
Alwin;1;4
Amabel;2;2
Amable;1;8
Amadeo;1;1
Amalia;2;7
Amalie;2;4
Amand;1;4
Amanda;2;7
Amandine;2;8
Amando;1;1
Amaranta;2;1
Amarante;2;8
Amato;1;1
Amaury;1;8
Amber;2;2
Ambra;2;1
Ambre;2;8
Ambrogino;1;1
Ambrogio;1;1
Ambroise;1;8
Ambrose;1;2
Ambrosine;2;2
Amedea;2;1
Amédée;1;8
Amedeo;1;1
Amelia;2;7
Amelie;2;4
Amélie;2;8
America;2;2
Amerigo;1;1
Amethyst;2;2
Amie;2;2
Amilcare;1;1
Amity;2;2
Amos;1;3
Ampelio;1;1
Amy;2;2
Amyas;1;2
Anacleto;1;1
Anaïs;2;8
Anastacia;2;2
Anastasia;2;3
Anastasie;2;8
Anastasio;1;1
Anatole;1;8
Anderson;1;2
Andi;3;6
Andre;1;2
André;1;8
Andrea;1;1
Andrea;2;6
Andreas;1;4
Andrée;2;8
Andreina;2;1
Andrew;1;2
Andriana;2;2
Andrina;2;2
Andy;1;2
Anemone;2;2
Angel;3;2
Angela;2;7
Angèle;2;8
Angelica;2;3
Angelika;2;4
Angelina;2;7
Angeline;2;8
Angelino;1;1
Angélique;2;8
Angelo;1;1
Angie;2;2
Angus;1;2
Anima;2;3
Anise;2;2
Anissa;2;2
Anita;2;3
Aniya;2;2
Anja;2;4
Ann;2;6
Anna;2;15
Annabel;2;2
Annabella;2;3
Annabelle;2;8
Annabeth;2;2
Annalee;2;2
Annalisa;2;1
Annalise;2;2
Anne;2;14
Annegret;2;4
Anneliese;2;4
Annemarie;2;4
Annetta;2;1
Annette;2;10
Annibale;1;1
Annie;2;6
Annika;2;6
Annis;2;2
Annmarie;2;2
Annunziata;2;1
Annunziato;1;1
Anona;2;2
Anouk;2;8
Ansel;1;6
Anselm;1;6
Anselma;2;5
Anselme;1;8
Anselmo;1;1
Ansgar;1;4
Anson;1;2
Anthony;1;2
Antoine;1;8
Antoinette;2;8
Anton;1;4
Antonella;2;1
Antonello;1;1
Antonette;2;2
Antonia;2;7
Antonietta;2;1
Antonin;1;8
Antonina;2;1
Antonino;1;1
Antonio;1;1
Apollinaire;1;8
Apolline;2;8
April;2;2
Arabella;2;3
Araminta;2;2
Arcangelo;1;1
Archibald;1;2
Archie;1;2
Arden;3;2
Arduino;1;1
Arend;1;4
Aretha;2;2
Aria;2;3
Ariane;2;12
Arianna;2;1
Ariel;3;10
Ariella;2;3
Arielle;2;8
Aristide;1;9
Arlen;1;2
Arlette;2;8
Arlie;3;2
Arline;2;2
Arlo;1;2
Armand;1;8
Armando;1;1
Armel;1;8
Armelle;2;8
Armida;2;1
Armin;1;4
Arnaldo;1;1
Arnaud;1;8
Arnaude;2;8
Arndt;1;4
Arnfried;1;4
Arnie;1;2
Arnold;1;6
Aroldo;1;1
Arrigo;1;1
Arsène;1;8
Arsenio;1;1
Art;1;6
Artemio;1;1
Artemisia;2;1
Arthur;1;14
Arturo;1;1
Arvel;1;2
Asdrubale;1;1
Ash;3;2
Asher;1;2
Ashley;3;2
Ashlyn;2;2
Ashton;3;2
Asia;2;3
Aspen;2;2
Assunta;2;1
Aston;3;2
Astor;1;2
Astra;2;2
Astrid;2;12
Athénaïs;2;8
Attilio;1;1
Auberon;1;2
Aubert;1;8
Aubin;1;8
Aubrey;3;2
Aude;2;8
Audie;2;2
Audley;1;2
Audrey;2;2
August;1;6
Augusta;2;7
Auguste;2;4
Auguste;1;8
Augustin;1;8
Augustine;1;2
Augustine;2;12
Augusto;1;1
Aura;2;2
Aurel;1;4
Aurèle;1;8
Aurelia;2;1
Aureliana;2;1
Aureliano;1;1
Aurélie;2;8
Aurélien;1;8
Aurelio;1;1
Aureole;2;2
Aurora;2;7
Aurore;2;8
Austin;1;2
Autumn;2;2
Ava;2;7
Avalon;2;2
Aveline;2;2
Averill;3;2
Avery;3;2
Avila;2;2
Avis;2;2
Avril;2;10
Axel;1;4
Axelle;2;8
Aylmer;1;2
Azalea;2;2
Azura;2;2
Azure;2;2
